"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 49, 0, 23, 72
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\dist\main.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 1, 1, 32
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\mental_card_data\player.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\package-lock.json", "JSON", 0, 0, 0, 2205, 0, 0, 0, 0, 1, 2206
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\package.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\public\dist\index_bundle.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\public\index.css", "CSS", 0, 0, 0, 0, 0, 117, 0, 1, 0, 118
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\public\index.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Bird.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Fish.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\ForestGuardian.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Humen.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Shark.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Turtle.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
